Країна,URL,Столиця,Офіційні мови,Незалежність,Валюта,Телефонний код
Кувейт,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%B2%D0%B5%D0%B9%D1%82,Ель-Кувейт,Арабська,,Кувейтський динар ( KWD ),+965
Північна Корея,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%BD%D1%96%D1%87%D0%BD%D0%B0_%D0%9A%D0%BE%D1%80%D0%B5%D1%8F,Пхеньян,Корейська,Невідомо,Північнокорейська вона (₩) ( KPW ),+850
Південна Корея,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0_%D0%9A%D0%BE%D1%80%D0%B5%D1%8F,Сеул,корейська ( pyojuneo [en] ) корейська жестова мова [en] [ 2 ],Невідомо,Південнокорейська вона (₩) ( KRW ),+82
Коморські Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BE%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Мороні,"Коморська , Арабська , Французька",від Франції,Коморський франк ( KMF ),+269
Кірибаті,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D1%80%D0%B8%D0%B1%D0%B0%D1%82%D1%96,Південна Тарава 1°28′ пн. ш. 173°02′ сх. д. country H G O,"кірибаті , англійська",,Австралійський долар ( AUD ),+686
Республіка Конго,https://uk.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%9A%D0%BE%D0%BD%D0%B3%D0%BE,Браззавіль,Французька,від Франції,КФА франк BEAC ( XAF ),+242
ДР Конго,https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%9A%D0%BE%D0%BD%D0%B3%D0%BE,Кіншаса,Французька,,Конголезький франк ( CDF ),+243
Колумбія,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D1%83%D0%BC%D0%B1%D1%96%D1%8F,Богота,іспанська мова,,Колумбійський песо ( COP ),+57
Кіпр,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D0%BF%D1%80,Нікосія Лефкосія (грецькою) Лефкоша (турецькою) 35°08′ пн. ш. 33°28′ сх. д. country H G O,"грецька , турецька [ 1 ]",Невідомо,євро ( EUR 7 ),+357 6
Киргизстан,https://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D1%81%D1%82%D0%B0%D0%BD,Бішкек,Киргизька (державна) Російська (офіційна),Невідомо,Сом ( KGS ),+996
Китай,https://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0,Пекін,китайська (державна мова) монгольська уйгурська тибетська чжуанська інші (визнані регіональні) 2,Невідомо,Юань (RMB¥) 4 ( CNY ),+86 4
Кенія,https://uk.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BD%D1%96%D1%8F,Найробі,"кісуахілі , англійська",від Великої Британії,Кенійський шилінг ( KES ),+254
Камерун,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D1%83%D0%BD,Яунде 3°52′ пн. ш. 11°31′ сх. д. country H G O,"Англійська , французька",від Франції і Великої Британії,франк КФА ( XAF ),+237
Канада,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0,Оттава 45°24′ пн. ш. 75°40′ зх. д. country H G O,"англійська мова , французька мова",Канадська конфедерація,Канадський долар ( CAD ),+1
Катар,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D1%80,Доха,Арабська,,Ріал ( QAR ),+974
Кабо-Верде,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%BE-%D0%92%D0%B5%D1%80%D0%B4%D0%B5,Прая,Португальська,від Португалії,Ескудо Кабо-Верде ( CVE ),+238
Казахстан,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD,Астана,"Казахська , Російська",Невідомо,Тенге ( KZT ),+7
Йорданія,https://uk.wikipedia.org/wiki/%D0%99%D0%BE%D1%80%D0%B4%D0%B0%D0%BD%D1%96%D1%8F,Амман,Арабська,,Йорданський динар ( JOD ),+962
Камбоджа,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B1%D0%BE%D0%B4%D0%B6%D0%B0,Пномпень,Кхмерська,від Французької республіки,Камбоджійський рієль (៛) 1 ( KHR ),+855
Італія,https://uk.wikipedia.org/wiki/%D0%86%D1%82%D0%B0%D0%BB%D1%96%D1%8F,Рим,Італійська,Невідомо,€ Євро ( EUR ),+39
Іспанія,https://uk.wikipedia.org/wiki/%D0%86%D1%81%D0%BF%D0%B0%D0%BD%D1%96%D1%8F,Мадрид,іспанська,Невідомо,Євро ( EUR ),+34
Іран,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%B0%D0%BD,Тегеран,Перська (фарсі),,Іранський ріал ( IRR ),+98
Ірак,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%B0%D0%BA,Багдад 2 33°20′ пн. ш. 44°26′ сх. д. country H G O,"Арабська , Курдська",,Іракський динар ( IQD ),+964
Індонезія,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5%D0%B7%D1%96%D1%8F,Джакарта,Індонезійська,від Нідерландів,рупія ( IDR ),+62
Ізраїль,https://uk.wikipedia.org/wiki/%D0%86%D0%B7%D1%80%D0%B0%D1%97%D0%BB%D1%8C,Єрусалим (загалом невизнана) [ fn 1 ] 31°47′ пн. ш. 35°13′ сх. д. country H G O,"Іврит , арабська мова [ 9 ] [ 10 ]",,Ізраїльський новий шекель ( ILS ),+972
Зімбабве,https://uk.wikipedia.org/wiki/%D0%97%D1%96%D0%BC%D0%B1%D0%B0%D0%B1%D0%B2%D0%B5,Хараре,"Шона , Ісіндебеле , Англійська",,Долар США ( ZWD ),+263
Ірландія,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D1%96%D1%8F,Дублін,"ірландська , англійська",від Сполученого Королівства Великої Британії та Ірландії,Євро 1 ( EUR ),+353
Замбія,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%BC%D0%B1%D1%96%D1%8F,Лусака 15°25′ пд. ш. 28°17′ сх. д. country H G O,Англійська,від Великої Британії,Замбійська квача ( ZMW ),+260
Індія,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D0%B4%D1%96%D1%8F,Нью-Делі,Гінді та англійська,15 серпня 1947,Індійська рупія ( INR ),+91
Ісландія,https://uk.wikipedia.org/wiki/%D0%86%D1%81%D0%BB%D0%B0%D0%BD%D0%B4%D1%96%D1%8F,Рейк'явік,Ісландська мова Ісландська мова жестів [ 1 ] [ 2 ],від Королівства Данія,Ісландська крона ( ISK ),+354
Ємен,https://uk.wikipedia.org/wiki/%D0%84%D0%BC%D0%B5%D0%BD,Сана,Арабська,Невідомо,Єменський ріал ( YER ),+967
Західна Сахара,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%85%D1%96%D0%B4%D0%BD%D0%B0_%D0%A1%D0%B0%D1%85%D0%B0%D1%80%D0%B0,Ель-Аюн,Невідомо,Невідомо,Марокканський дирхам Сахравійська песета,Невідомо
Єгипет,https://uk.wikipedia.org/wiki/%D0%84%D0%B3%D0%B8%D0%BF%D0%B5%D1%82,Каїр,Арабська,28 лютого 1922,Єгипетський фунт ( EGP ),+20
Ефіопія,https://uk.wikipedia.org/wiki/%D0%95%D1%84%D1%96%D0%BE%D0%BF%D1%96%D1%8F,Аддис-Абеба 8°58′ пн. ш. 39°00′ сх. д. country H G O,Амхарська мова,X ст. до н.е.,Ефіопський бир ( ETB ),+251
Естонія,https://uk.wikipedia.org/wiki/%D0%95%D1%81%D1%82%D0%BE%D0%BD%D1%96%D1%8F,Таллінн,естонська,Невідомо,євро ( EUR ),+372
Еквадор,https://uk.wikipedia.org/wiki/%D0%95%D0%BA%D0%B2%D0%B0%D0%B4%D0%BE%D1%80,Кіто 00°09′ пд. ш. 78°21′ зх. д. country H G O,іспанська мова,,"Еквадорський сукре (до 2000 ), Долар США ( USD )",+593
Екваторіальна Гвінея,https://uk.wikipedia.org/wiki/%D0%95%D0%BA%D0%B2%D0%B0%D1%82%D0%BE%D1%80%D1%96%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0_%D0%93%D0%B2%D1%96%D0%BD%D0%B5%D1%8F,Малабо,"іспанська [ 1 ] , португальська [ 2 ]",12 жовтня 1968 р. (від Іспанії ),африканський франк ( [[Класифікація валют (ISO 4217)| XAF ]] ),+240
Есватіні,https://uk.wikipedia.org/wiki/%D0%95%D1%81%D0%B2%D0%B0%D1%82%D1%96%D0%BD%D1%96,Лобамба (королівська та законодавча) Мбабане (адміністративна; координати нижче),"свазі , англійська",,Ліланджені ( SZL ),+268
Еритрея,https://uk.wikipedia.org/wiki/%D0%95%D1%80%D0%B8%D1%82%D1%80%D0%B5%D1%8F,Асмера,"немає; фактично: тигринья та арабська , в меншій мірі: англійська та італійська",від Ефіопії,Накфа ( ERN ),+291
Домініка,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D1%96%D0%BD%D1%96%D0%BA%D0%B0,Розо,англійська мова,,Східно-карибський долар ( XCD ),+1 767
Домініканська Республіка,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D1%96%D0%BD%D1%96%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0,Санто-Домінго,іспанська мова,,Домініканський песо ( DOP ),+809
Гвінея-Бісау,https://uk.wikipedia.org/wiki/%D0%93%D0%B2%D1%96%D0%BD%D0%B5%D1%8F-%D0%91%D1%96%D1%81%D0%B0%D1%83,Бісау,Португальська,від Португалії,КФА франк BCEAO ( XOF ),+245
Гвінея,https://uk.wikipedia.org/wiki/%D0%93%D0%B2%D1%96%D0%BD%D0%B5%D1%8F,Конакрі 9°31′ пн. ш. 13°42′ зх. д. country H G O,Французька,,Гвінейський франк ( GNF ),+224
Джибуті,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%B8%D0%B1%D1%83%D1%82%D1%96,Джибуті,Арабська та Французька,від Франції,Джибутійський франк ( DJF ),+253
Данія,https://uk.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D1%96%D1%8F,Копенгаген,данська,Невідомо,Данська крона ( DKK ),+45
Грузія,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D1%83%D0%B7%D1%96%D1%8F,Тбілісі,грузинська,Невідомо,ларі ( ) ( GEL ),+995
Гондурас,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D0%B4%D1%83%D1%80%D0%B0%D1%81,Тегусігальпа,іспанська мова,,Лемпіра ( HNL ),+504
Гренада,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%BD%D0%B0%D0%B4%D0%B0,Сент-Джорджес,англійська мова,,Східно-карибський долар ( XCD ),+473
Греція,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D1%86%D1%96%D1%8F,Афіни,Грецька,від Османської імперії,Євро ( EUR ),+30
Гаяна,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D1%8F%D0%BD%D0%B0,Джорджтаун,англійська,,Гаянський долар ( GYD ),+592
Гаїті,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D1%97%D1%82%D1%96,Порт-о-Пренс,"Французька , гаїтянська креольська",,Ґурд ( HTG ),+509
Гватемала,https://uk.wikipedia.org/wiki/%D0%93%D0%B2%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D0%BB%D0%B0,Гватемала,іспанська мова,,Кетсаль ( GTQ ),+502
Гана,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D0%BD%D0%B0,Аккра,англійська,Невідомо,Седі ( GHC ),+233
Гамбія,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D0%BC%D0%B1%D1%96%D1%8F,Банжул 13°28′ пн. ш. 16°36′ зх. д. country H G O,Англійська,,Даласі ( GMD ),+220
В'єтнам,https://uk.wikipedia.org/wiki/%D0%92%27%D1%94%D1%82%D0%BD%D0%B0%D0%BC,Ханой 21°02′ пн. ш. 105°51′ сх. д. country H G O,В'єтнамська,,Донг (₫) ( VND ),+84
Венесуела,https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B5%D1%81%D1%83%D0%B5%D0%BB%D0%B0,Каракас,іспанська мова,,Венесуельський болівар ( VEB ),+58
Вірменія,https://uk.wikipedia.org/wiki/%D0%92%D1%96%D1%80%D0%BC%D0%B5%D0%BD%D1%96%D1%8F,Єреван,Вірменська,Невідомо,Драм ( AMD ),+374
Габон,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D0%BE%D0%BD,Лібревіль,французька,,Франк КФА ( XAF ),+241
Ватикан,https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%D0%BD,фактично є містом-державою у місті 41°54′ пн. ш. 12°27′ сх. д. country H G O,"італійська , Латина",від Королівства Італія,Euro (€) 3 ( EUR ),+39 (Італія)
Велика Британія,https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B0_%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%96%D1%8F,Лондон,англійська,Невідомо,Фунт стерлінгів ( GBP ),+44
Вануату,https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D0%BD%D1%83%D0%B0%D1%82%D1%83,Порт-Віла,"біслама , англійська , французька",від Франції та Великої Британії,Вануатійський вату ( VUV ),++678
Бутан,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%82%D0%B0%D0%BD,Тхімпху,дзонг-ке,від Індії,Нгултрум ( BTN ),+975
Андорра,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%BE%D1%80%D1%80%D0%B0,Андорра-ла-Велья,Каталонська,,Євро (€) 1 ( EUR ),+376
Антигуа і Барбуда,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B3%D1%83%D0%B0_%D1%96_%D0%91%D0%B0%D1%80%D0%B1%D1%83%D0%B4%D0%B0,Сент-Джонс,англійська мова,,Східно-Карибський долар ( XCD ),+268-1-268
Бурунді,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%83%D0%BD%D0%B4%D1%96,Гітега 3°30′ пд. ш. 30°00′ сх. д. country H G O,"Французька , Кірунді , Англійська",від Бельгії,Бурундійський франк (FBu) ( BIF ),+257
Буркіна-Фасо,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D0%BA%D1%96%D0%BD%D0%B0-%D0%A4%D0%B0%D1%81%D0%BE,Уагадугу,Французька,від Франції,Франк CFA ( XOF ),+226
Бруней,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D1%83%D0%BD%D0%B5%D0%B9,Бандар-Сері-Бегаван,Малайська (національна),,Бруннейський рінггіт ( BND ),+673 1
Ангола,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%BE%D0%BB%D0%B0,Луанда,"Португальська (офіційна), кіконго , півн і півд мбунду (національні)",від Португалії,Ангольська кванза ( AOA ),+244
Алжир,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B6%D0%B8%D1%80,Алжир 36°42′ пн. ш. 3°13′ сх. д. country H G O,Арабська і берберська,Невідомо,Алжирський динар ( DZD ),+213
Албанія,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B1%D0%B0%D0%BD%D1%96%D1%8F,Тирана,албанська,Від Османської імперії,Албанський лек ( ALL ),+355
Азербайджан,https://uk.wikipedia.org/wiki/%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD,Баку,азербайджанська,Невідомо,Манат ( AZN ),+994
Австрія,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D1%96%D1%8F,Відень 48°12′ пн. ш. 16°21′ сх. д. country H G O,Австрійський варіант німецької мови,,Євро ( EUR ),+43
